TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QEMO001,2/26/2011,17.6,,,,12.77,13.6,16.12,14.51,9.13,15.6,,,
QEMO010,3/12/2011,10.9,,,,4.53,6.02,7.79,5.89,6.16,12.1,,Unlabeled; likely 010,
QEMO011,3/12/2011,19.6,,,,7.42,8.28,9.52,13.8,7.12,12,,,
QEMO012,3/12/2011,20.7,,,,7.19,15.76,18.9,10.89,8.71,15.2,,,
QEMO013,3/14/2011,15.2,,,,4.82,13.1,14.3,16.71,5.01,15.2,,,
QEMO014,3/14/2011,20.4,,,,6.54,12.45,14.5,11.22,5.42,15.5,,,
QEMO015,3/14/2011,38.6,,,,6.83,18.18,20.05,25.33,5.26,15.6,,,
QEMO016,3/14/2011,21.4,,,,6.08,15.02,14.99,16.74,6.99,15.4,,,
QEMO017,3/14/2011,28,,,,11.1,4.5,15.84,11.31,10.76,15.6,,,
QEMO018,3/14/2011,16.3,,,,7.76,2.11,9.72,5.48,5.65,15.6,,,
QEMO019,3/14/2011,31.6,,,,7.14,6.23,15.14,14.44,2.34,15.5,,,
QEMO020,3/14/2011,34.7,,,,3.21,15.32,27.22,4.73,28.58,15.6,,,
QEMO021,5/23/2011,30.4,28.2,,,17.42,5.33,14.53,15.17,13.88,17,12,,
QEMO022,5/23/2011,44.2,41.5,,,19.39,25.32,22.4,24.7,20.43,15.4,200,,
QEMO023,5/23/2011,21.8,20.2,,,20.67,10.92,20.24,5.2,23.52,15.3,320,,
QEMO024,5/23/2011,26.7,23.8,,,19.61,18.54,20.18,13.9,22.8,15.3,140,"oval shaped, seriously dehydrated, not leafed out",
QEMO025,5/23/2011,50.2,48.5,,,21.05,17.52,21.35,4.63,25.14,15.1,24,,
QEMO026,5/23/2011,27.2,25.4,,,16.85,15.32,13.62,12.63,8.9,15,100,,
QEMO028,5/25/2011,34.5,28.5,,,23.32,4.17,29.32,11.47,25.14,15,110,,
QEMO029,5/25/2011,53,54.2,,,30.43,23.33,24.27,24.99,20.76,15.3,220,,
QEMO030,5/25/2011,37.2,34.6,,,17.98,18.46,18.12,19.39,19.32,15.3,340,,
QEMO031,5/25/2011,29.3,28.2,,,21.06,19.03,20.33,20.42,20.07,15.4,150,,
QEMO032,10/8/2011,18.8,16.5,,,7.44,6.69,13.33,8.08,11.4,11.5,316,,
QEMO033,10/8/2011,22.5,23,,,15.74,11.52,12.85,6.86,13.92,11.5,340,,
QEMO034,10/8/2011,14.6,13.4,,,8.65,8.3,10.03,8.32,6.31,11.5,355,,
QEMO035,10/9/2011,25.5,27.5,,,14.6,14.3,14.93,15.13,15.67,11.5,5,,
QEMO036,10/9/2011,23.2,21,,,23.19,25.22,9.4,20.3,16.18,11.5,210,,
QEMO037,10/9/2011,16.1,14.5,,,16.74,13.05,12.18,10.02,12.27,11.5,260,,
QEMO038,10/9/2011,24,20.2,,,16.44,16.36,16.27,13.71,14.44,11.5,348,,
QEMO039,10/11/2011,18.6,14.8,,,10.32,9.05,13.95,9.81,12.54,11.5,300,,
QGAM001,5/22/2011,21.4,20.9,,,14.19,10.92,6.16,9.91,9.15,15,260,,
